Stock,RS_Rating,Price,50 SMA,150 SMA,200 SMA,52 Week Low,52 Week High
BEP,63.115809365831204,49.79999923706055,44.4,45.25,42.88,29.05071449279785,56.36286163330078
KRMD,62.83835268967386,11.380000114440918,9.08,6.54,5.77,1.5399999618530273,12.420000076293945
DRD,60.85767517743796,9.600000381469727,7.26,5.82,5.33,1.5870226621627808,9.970000267028809
FNV,60.37855933113667,143.3800048828125,116.81,106.84,103.35,72.14997100830078,145.8300018310547
NEM,60.346894130813375,64.55000305175781,52.72,44.99,43.34,29.50979995727539,64.91000366210938
DEA,60.27611700037136,26.280000686645508,25.25,23.71,22.74,17.0780086517334,29.31999969482422
AGN,59.91739785433702,193.02000427246094,182.39,183.69,177.84,113.8517074584961,200.56202697753906
DXCM,59.85085082870879,405.5,284.35,237.33,217.26,114.45999908447266,405.5
TSLA,59.80008648627332,819.4199829101562,630.33,514.7,444.0,178.97000122070312,917.4199829101562
AAPL,59.72993130571645,310.1300048828125,271.23,276.56,259.99,171.7197265625,327.20001220703125
GNRC,59.6822879676896,103.86000061035156,96.88,98.09,92.67,55.150001525878906,118.08000183105469
PLMR,59.66843009995252,59.79999923706055,53.52,50.92,46.6,19.110000610351562,63.349998474121094
STMP,59.4389986537442,202.8699951171875,136.94,104.32,94.15,33.470001220703125,202.8699951171875
ATLC,59.35924856830283,17.68000030517578,11.47,10.35,9.49,3.2300000190734863,17.899999618530273
GSX,59.324367983793046,41.97999954223633,38.0,28.61,24.88,9.069999694824219,45.41999816894531
HEBT,59.323154327531796,13.140000343322754,8.13,6.48,5.68,0.7599999904632568,13.140000343322754
TYL,59.22051488828399,330.2300109863281,304.05,298.31,287.09,208.02999877929688,338.42999267578125
FRHC,59.19742069667162,16.25,14.75,14.7,13.98,9.270000457763672,16.6299991607666
CABO,58.993894743069674,1844.489990234375,1618.89,1555.59,1478.92,1069.4658203125,1960.0
RMD,58.95446286678312,162.75,154.31,152.93,147.86,109.9845962524414,176.6199951171875
GOLD,58.895282293594036,27.389999389648438,21.85,19.1,18.78,11.56855583190918,28.190000534057617
AMED,58.85608745670155,180.0399932861328,178.68,168.19,159.15,108.08000183105469,213.80999755859375
RPAY,58.85139150823232,17.940000534057617,15.65,15.33,14.62,10.222999572753906,19.399999618530273
AXE,58.719608506672046,94.48999786376953,89.55,88.58,82.11,53.36000061035156,99.2699966430664
GLPG,58.405578089221436,217.1199951171875,196.85,202.43,193.21,111.44999694824219,274.0299987792969
WST,58.39223120510299,200.00999450683594,161.57,154.49,151.42,114.10618591308594,200.00999450683594
PODD,58.37354484094193,217.6300048828125,178.82,177.82,170.48,101.4000015258789,217.6300048828125
MSFT,58.369129261834836,184.67999267578125,163.06,158.46,152.95,118.71295166015625,188.1859893798828
NVRO,58.35328582596832,124.88999938964844,107.68,110.44,102.89,58.040000915527344,144.30999755859375
TDOC,58.32921914570577,176.5,155.12,109.65,98.4,53.97999954223633,194.88999938964844
SE,58.25202047349705,62.4900016784668,48.84,41.65,39.45,24.3799991607666,62.4900016784668
EVER,58.211409269086275,50.380001068115234,34.2,32.58,29.59,10.350000381469727,51.56999969482422
ZLAB,58.103260771802944,65.9800033569336,56.37,47.52,44.03,26.0,65.9800033569336
SYNA,58.09132213536685,67.41000366210938,60.84,60.8,54.36,26.450000762939453,84.52999877929688
TECD,58.00774370837851,140.0500030517578,133.86,134.9,125.34,80.97000122070312,144.88999938964844
SHOP,57.97342869092018,708.969970703125,492.9,424.37,405.34,250.7899932861328,733.530029296875
CHTR,57.968676086113184,515.280029296875,467.23,477.94,459.13,368.8900146484375,542.4600219726562
DVA,57.961003245933036,80.76000213623047,75.32,73.31,69.59,43.41999816894531,88.5
AVDL,57.89730527632441,9.359999656677246,8.72,7.04,5.95,1.159999966621399,11.75
WPM,57.84425260033214,43.380001068115234,32.1,29.42,28.9,19.51117515563965,43.72999954223633
LDOS,57.82816708615644,102.69999694824219,94.37,94.64,91.93,70.83000183105469,122.73171997070312
ENPH,57.79941275671165,57.279998779296875,39.38,32.13,30.94,13.5600004196167,59.09000015258789
CTXS,57.69474654221442,150.97999572753906,134.04,119.13,112.67,90.30254364013672,151.69000244140625
IPHI,57.68419287388725,110.77999877929688,83.61,77.0,73.27,41.0,110.77999877929688
CGEN,57.65511192779178,15.40999984741211,10.45,7.56,6.63,2.799999952316284,15.40999984741211
AMD,57.53865194954079,53.189998626708984,48.56,44.41,40.98,26.239999771118164,58.900001525878906
RING,57.51310760578451,29.190000534057617,23.56,23.05,22.96,15.718805313110352,29.280000686645508
AUY,57.3999418490225,5.239999771118164,3.87,3.75,3.65,1.7785993814468384,5.239999771118164
UGLD,57.36624259269938,182.27999877929688,171.35,151.93,149.1,89.52999877929688,202.4199981689453
ESPO,57.352689874609666,43.90999984741211,39.62,38.08,36.98,31.121660232543945,43.90999984741211
